ID,Issue_No,Category,Question_EN,Answer_EN,Question_JP,Answer_JP,Article_Slug,Tags,Source,Status
1,,Quick Start,How do I install Kiara?,"To install Kiara to your Slack workspace: 1) Access the Kiara website, 2) Click 'Try create it free for 14 days' button on the top page, 3) Follow the on-screen instructions",,,,install-kiara,"installation, setup, getting-started",getkiara.com/help,Complete
2,,Quick Start,What should I check before installing Kiara?,"Check how many users are in your Slack workspace beforehand. Ensure the number of people registered with Kiara matches the actual number of people in your Slack workspace, otherwise Kiara might not work.",,,,before-install,"installation, setup, prerequisites",getkiara.com/help,Complete
3,,Quick Start,What languages does Kiara support?,"Kiara supports 100 languages including major world languages like English, Spanish, Chinese, Arabic, French, as well as regional and Asian languages. If your language is not on the list, contact them via form or hello@kiara.team.",,,,languages,"languages, supported-languages, features",getkiara.com/help,Complete
4,,How to Use,How do I add or delete languages?,"Say '@kiara' in the message box, then press 'Add' or 'Delete' button and select the language you want to add or remove.",,,,delete-add-languages,"languages, settings, configuration",getkiara.com/help,Complete
5,,How to Use,How do I turn translation on or off?,"Say '@kiara' in the message box, click 'Setting' and toggle 'Translation' on or off.",,,,translation-function,"translation, settings, toggle",getkiara.com/help,Complete
6,,How to Use,What is 'Translation in reply' mode?,"When the timeline feels too noisy, you can activate 'Translation in reply' mode to reduce timeline noise. Say '@kiara', click 'Setting', and set 'Translation in reply'.",,,,translation-in-reply,"translation, reply-mode, settings",getkiara.com/help,Complete
7,,How to Use,What is 'Status' and 'Consumption'?,"Status shows the languages you set and consumption. Consumption shows the number of characters and percentage used. As of Jan 2021, translation is unlimited so you don't need to worry about it.",,,,status-consumption,"status, consumption, usage",getkiara.com/help,Complete
8,,How to Use,How do I invite Kiara to a channel?,"Simply say '@kiara' in the message box to invite Kiara to a channel.",,,,invite-kiara,"channels, invitation, setup",getkiara.com/help,Complete
9,,FAQ,Do you have 'translation memory' or 'glossary'?,"No. If you need to download translation results or want such dashboard, we will consider building it. Please tell us if necessary.",「翻訳メモリ」や「用語集」はありますか？,"いいえ。翻訳結果のダウンロードやダッシュボードが必要な場合は、構築を検討します。必要であればお知らせください。",translation-memory,"features, translation-memory, glossary",getkiara.com/help + GitHub Issue #11,Complete
10,,FAQ,Are mentions (@someone) and channels (#channel) translated properly?,"Mentions are translated properly. Channels are translated properly in some languages but show differently in other languages.",,,,mentions-channels,"mentions, channels, translation",getkiara.com/help,Complete
11,,FAQ,Can I show only one language translation?,"No. We cannot provide this feature at the moment. Since some customers asked the same issue, we will implement when we are ready.",,,,shown-language,"languages, settings, feature-request",getkiara.com/help,Complete
12,,FAQ,Can I add my original translation via Kiara?,"No. We cannot provide this feature at the moment. Since some customers asked us, we will try to implement this when we are ready.",,,,add-translation,"custom-translation, features, feature-request",getkiara.com/help,Complete
13,,FAQ,Is bold text translated as bold text?,"Yes, it is reflected (though some languages might not preserve bold formatting).",,,,bold-text,"formatting, bold-text, translation",getkiara.com/help,Complete
